tweet,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5
جريمة انتحار قتل الداخلية الكويت السعودية سجن فساد القدس البحرين الامارات البلدية تحرش جنسي مسلم البراك ايران مازن الجراح ابعاد ضحك مصر فيديو الاعلام الصحة الوزير الجبري الاعلام الجامعة خليجي,1,0,1,1,1
صفاقس انقاذ امرأة حاولت الانتحار غرقا,1,0,1,1,1
موت انتحار غصه شنق مذبحه جنون شهار جلطه قلبي مممتتت,0,0,0,0,1
وافد قتل صديقته ثم انتحر انتحار جريمة الداخلية الكويتية,1,1,1,1,1
إحصائية عن الانتحار التغريدة انتقت دولا بعينها من الاحصائية بشكل غير مفهوم لتعرضها تركت دولا أخرى قد تحمل الأرقام فيها دلالات أو تساؤلات مهمة,1,0,1,0,1
الإحصائية الكاملة لأعداد توزيع حالات الانتحار في دول العالم وفقا لأرقام منظمة الصحة العالمية,1,0,1,0,1
نسبة معدلات الانتحار بين الرجال النساء تصل في أوروبا إلى أضعاف في المتوسط في دول أخرى مثل كازاخستان منغووليا تزيد عن اضعاف تصل في بولندا لاتفيا مثلا إلى أضعاف تقريبا الخريطة أدناه توضح توزيع هذه النسبة عالميا,1,0,1,0,1
لا أعرف مدى كفاية الدراسات التي تحاول تفسير التفاوت الكبير في نسب معدلات الانتحار عالميا بين الرجال النساء لكن صفحة ويكيبيديا في هذا العنوان جيدة مدعومة بعدد معقول من الدراسات التفسيرات تصلح كمدخل لمن يريد التوسع في القراءة عن هذا الموضوع,1,0,1,0,1
أربعينية تنهي حياتها شنقا في النزهة أربعينية انتحار النزهة الطب الشرعي,1,1,1,1,1
نبض الوطن عاجل صنعاء مصدر خاص نبض الوطن انتحار   حوثيا في تبة القناصين بعد محاصرتهم من قبل القوات المسلحة قناة نبض الوطن عاجل,1,0,0,1,1
عطيت نفسي وجه زياده عن اللزوم كتابك ياطالبه اختبارات موت انتحار برب كرر ياكنترول,0,0,0,0,0
الجمهورية أون لاين تحذير للاطفال والشباب ألعاب الكترونية تؤدي إلى الانتحار لعبه الحوت الازرق انهت حياة ٢٧٥ شخصا  بالعالم بينهم أطفال بالدول العربية التفاصيل عبر الرابط,1,0,1,0,1
الانتحار تعريف الانتحار الانتحار هو تعمد فرض الموت علي النفس البشرية أو كما عرفه العالم أدوين شنيدمان,1,0,1,0,0
تحذير للأردنيين من تحميل الحوت الأزرق لعبة الانتحار لعبة الحوت الأزرق قطاع الاتصالات تحذير انتحار,1,0,1,0,1
شرطة دبي تنقذ فتاة من الانتحار الانستغرام السبب تكنولوجيا,1,0,1,0,1
جريمة انتحار قتل الداخلية الكويت السعودية سجن فساد القدس البحرين الامارات البلدية تحرش جنسي مسلم البراك ايران مازن الجراح ابعاد ضحك مصر فيديو الاعلام الصحة الوزير الجبري الاعلام الجامعة خليجي  عاجل,1,0,1,0,1
